Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
cele,ɛȷʋȷ,Verb,to exchange/trade,an exchanged entity/product,to exchange/trade,exchangable/tradeable,Hungarian cserél,[ˈt͡ʃɛreːl],Uralic,esun,pasa,Noun,-,X,X,,.
cenci,ɛ̄ȷɛı,Modifier,thin,thinness,to be thin,thin,Kashubian cenczi,,Balto-Slavic,mawon,mawon,Modifier0,tenti,X,X,tenja,.
cenpo,ɛ̄ȷʜʃ,Modifier,big,bigness/size,to be big,big,Tibetan ཆེན་པོ chen po,/t͡ɕʰem˥˥.po˥˥/,Sino-Tibetan,suli,kapi,Modifier>,kima,X,X,cina,.
ci,ɛı,Pronoun,what,what,to be what,(of) what,Dari Persian چی či,[t͡ʃʰiː],Indo-Iranian,seme,ka,Pronoun,-,X,X,,.
cimi,ɛıɞı,Modifier,precise/specific,precision/specificity,to be precise/specific,precise/specific,Mandarin 精密 jīngmì,/t͡ɕiŋ⁵⁵ mi⁵¹/,Sino-Tibetan,suti,suti,Modifier>,timi,X,X,eme,.
cina,ɛıƨ,Modifier,small,smallness,to be small,small,Telugu చిన్న cinna,[t͡ʃin̪n̪a],Dravidian,lili,peti,Modifier0,tina,X,X,cenpo,.
cohi,ɛʃɵı,Noun,stick,stick/staff/pole,to be a stick/staff/pole,stick/staff/pole-related,Georgian ჯოხი ǯoxi,/d͡ʒoxi/,Kartvelian,palisa,lati,Noun,toki,X,X,,.
con,ɛ̄ʃ,Quantity,thousand^,-,-,-,Korean 천 cheon,[t͡ɕʰʌ̹n],Koreic,kilo,kilo,Quantity,-,X,X,,.
conca,ɛ̄ʃɛ,Modifier,ongoing; progressive aspect modifier,ongoingness,to be ongoing,ongoing,Mandarin 正在 zhèngzài,/ʈ͡ʂɤŋ⁵¹⁻⁵³ t͡saɪ̯⁵¹/,Sino-Tibetan,sajo,sajo,Modifier>,tonsa (tonta),X,X,luka,.
conto,ɛ̄ʃʌʃ,Noun,machine/mechanism,machine/mechanism,to be a machine/mechanism,machine/mechanism-related,Odia ଯନ୍ତ୍ର jôntrô,/d͡ʒɔn̪t̪ɾɔ/,Indo-Iranian,-,-,Noun,-,X,X,,.
cuma,ɛſɞ,Modifier,leaving/departing/exiting,leave/departure/exit,to be leaving/departing/exiting,leaving/departing/exiting,Turkish çıkmak,/t͡ʃɯkˈmɑk/,Turkic,-,-,Modifier-,-,X,X,koman,.
